employee_code	gender	name	address	NRIC	tel_mobile	tel_home	Date joined	date of birth
05457	male	Adam Hazirah	"3 Seletar Park, #12-36"	S6818385W	9428-3102	6579-0943	11-Jun-2006	19-Apr-1981
04428	female	Adelia To	"Blk 207 Serangoon Gardens Street 24, #10-15"	S4273119F	9612-6814	6633-0671	28-Aug-2009	5-Jan-1977
05877	female	Adeline Ong	"Blk 20 Aljunied Street 29, #04-21"	S2842623F	9325-9377	6471-9206	18-May-2003	21-Oct-1987
01382	male	Adrian Yong Weiming	37 Bartley Circle	S9434282T	8732-2313	6709-2412	2-Oct-2006	16-Dec-1985
00478	male	Ahmad Saat	"Blk 24 Boon Lay Street 29, #17-33"	S1555946P	8937-5218	6161-9080	11-Feb-2005	2-Apr-1989
00990	female	Anabelle Wee	1 Jalan Terang Bulan	S8296376K	9709-3080	6534-8384	16-Apr-2005	25-Mar-1979
00392	female	Ava Koh	"Blk 43 Lorong 7 Telok Blangah, #04-08"	S0583164R	9579-1735	6063-8965	9-May-2006	14-Dec-1979
00189	female	Beatrice Wee	77 Mandai Green	S2877327T	9993-7279	6111-6437	6-Nov-2003	7-Jan-1982
11437	female	Bernice Quek	"4 Hillview Court, #05-39"	S1525342C	9559-7410	6586-4720	12-May-2007	8-Dec-1992
2608	male	Bernie Kwok	"Blk 207 Geylang East Street 84, #03-34"	S2593754G	9628-7759	6406-2171	22-Aug-2004	30-Dec-1985
00969	female	Betty Ee	9 Bukit Timah View	S1196675X	9909-6175	6596-9768	20-Jul-2005	14-Aug-1985
04687	male	Boris Tan	13 Jalan Ulu Siglap	G9955067I	9885-3712	6933-4997	6-Mar-2007	12-Apr-1983
03559	female	Burairah Kadir	"Blk 164 Lorong 3 Woodlands, #14-23"	S7824441I	8924-0256	6380-6517	22-Apr-2005	10-Aug-1984
01377	female	Cassandra Chang	2 Tiong Bahru Court	S0997215H	9316-1532	6735-4715	14-Aug-2008	16-Oct-1983
