employee_code	gender	name	address	NRIC	tel_mobile	tel_home	Date joined	date of birth
00012	male	Adam Hazirah	"3 Seletar Park, #12-36"	S6818385W	9428-3102	6579-0943	11-Jun-2006	19-Apr-1981
00047	female	Adelia To	"Blk 207 Serangoon Gardens Street 24, #10-15"	S4273119F	9612-6814	6633-0671	28-Aug-2009	5-Jan-1977
00055	female	Adeline Ong	"Blk 20 Aljunied Street 29, #04-21"	S2842623F	9325-9377	6471-9206	18-May-2003	21-Oct-1987
00065	male	Adrian Yong Weiming	37 Bartley Circle	S9434282T	8732-2313	6709-2412	2-Oct-2006	16-Dec-1985
00105	male	Ahmad Saat	"Blk 24 Boon Lay Street 29, #17-33"	S1555946P	8937-5218	6161-9080	11-Feb-2005	2-Apr-1989
00194	female	Anabelle Wee	“1 Jalan Terang Bulan	S8296376K”	9709-3080	6534-8384	16-Apr-2005	25-Mar-1979
00339	female	Ava Koh	"Blk 43 Lorong 7 Telok Blangah, #04-08"	S0583164R	9579-1735	6063-8965	9-May-2006	14-Dec-1979
00341	female	Beatrice Wee	“77 Mandai Green”	S2877327T	9993-7279	6111-6437	6-Nov-2003	7-Jan-1982
00463	female	Bernice Quek	"4 Hillview Court, #05-39"	S1525342C	9559-7410	6586-4720	12-May-2007	8-Dec-1992
00480	male	Bernie Kwok	"Blk 207 Geylang East Street 84, #03-34"	S2593754G	9628-7759	6406-2171	22-Aug-2004	30-Dec-1985
00528	female	Betty Ee	“9 Bukit Timah View”	S1196675X	9909-6175	6596-9768	20-Jul-2005	14-Aug-1985
00872	male	Boris Tan	“13 Jalan Ulu Siglap”	G9955067I	9885-3712	6933-4997	6-Mar-2007	12-Apr-1983
01299	female	Burairah Kadir	"Blk 164 Lorong 3 Woodlands, #14-23"	S7824441I	8924-0256	6380-6517	22-Apr-2005	10-Aug-1984
01306	female	Cassandra Chang	2 Tiong Bahru Court	S0997215H	9316-1532	6735-4715	14-Aug-2008	16-Oct-1983
01328	female	Cassandra Chia	"Blk 420 Sengkang Street 12, #17-09"	S0531589Q	9660-9702	6697-4738	16-Jun-2001	8-Oct-1981
01340	female	Catherine Tay	"Blk 155 Geylang East Street 88, #18-42"	S6320193K	9876-7340	6781-8618	8-Dec-2006	15-Apr-1985
01369	female	Cathy Pang	"44 Rochor Center, #18-12"	S4321919L	8471-3854	6340-6341	10-Apr-2002	3-Apr-1980
01396	female	Charmaine  Zhou	21 Punggol Walk	S7297600X	9868-0904	6061-9800	2-Jan-2007	19-Jul-1982
01863	male	Chin JK Taylor	"Blk 10 Geylang East Street 77, #15-18"	S2410992A	8334-6686	6500-7521	6-Sep-2004	1-Jun-1985
01877	female	Chloe Tan	"Blk 413 Pasir Ris Street 26, #06-02"	S9503833N	9775-4953	6114-4409	11-Nov-2002	19-Nov-1984
02077	male	Clifford Lim	72 Jalan Mas Kuning	S4152299C	9680-4803	6986-6037	21-Apr-2005	25-Nov-1975
02145	female	Cynthia Wee	"Blk 30 Geylang East Street 76, #09-03"	S0495140R	9621-2303	6585-1845	22-Mar-2003	15-Mar-1984
02153	male	Dan Chew	73 Jalan Pergam	S6498501N	9062-6202	6026-6333	4-Sep-2002	6-Mar-1985
02522	male	Danish Othman	74 Tanglin Avenue North	S9834886H	9407-9519	6556-9282	6-Oct-2004	10-Mar-1988
02765	male	Darian Loh	"Blk 442 Lorong 18 Novena, #11-19"	S3972902H	9774-5316	6699-8586	3-Mar-2000	14-Dec-1983
02925	female	Diana Leow	"1 Bukit Merah View, #05-12"	S6277756J	9947-5493	6796-8699	21-Apr-2008	1-Apr-1985
03023	female	Doris Tan	"45 Sennett Road, #05-39"	S3012230M	8598-5754	6784-5597	3-Jan-2002	26-Sep-1982
03141	female	Dorothy Eng	"Blk 19 Bukit Merah Street 25, #14-14"	S3245394U	9404-4946	6374-6185	20-Nov-2005	25-Feb-1978
03189	male	Douglas Lok	26 Queenstown Lane	S6475863N	8629-2994	6973-8190	5-Apr-2008	21-Sep-1979
05721	male	Douglas Yap	"Blk 19 Jurong Central Street 39, #02-31"	S3651212T	9589-9256	6967-0492	1-Aug-2005	2-Mar-1989
